sample_query,ground_truth_answer,source_document,category,page_reference,difficulty
Can a taxpayer deduct the cost of maternity clothes as a medical expense?,No — you can't include amounts you pay for maternity clothes as medical expenses.,IRS Publication 502 — Medical and Dental Expenses,tax,15,easy
What is the maximum nightly amount that can be included as a medical expense for lodging when a person travels for medical care?,$100 per night (meals aren't included).,IRS Publication 502 — Medical and Dental Expenses,tax,10,easy
"According to IRS Publication 505, what income threshold triggers the 0.9% Additional Medicare Tax for a single filer?","$200,000",IRS Publication 505 — Tax Withholding and Estimated Tax,tax,23,easy
"What is the Additional Medicare Tax income threshold for a married couple filing jointly, per IRS Publication 505?","$250,000",IRS Publication 505 — Tax Withholding and Estimated Tax,tax,23,easy
"For 2026, at what taxable income level does the itemized-deduction reduction begin for a married couple filing jointly or a qualifying surviving spouse, per IRS Publication 505?","$768,700",IRS Publication 505 — Tax Withholding and Estimated Tax,tax,23,medium
"What identification number must the IRS issue to a nonresident or resident alien who is not eligible for a Social Security Number, per IRS Publication 334?",An Individual Taxpayer Identification Number (ITIN).,IRS Publication 334 — Tax Guide for Small Business,tax,6,easy
"Under the simplified method for the home office deduction described in IRS Publication 334, what is the dollar rate per square foot and the maximum square footage allowed?","$5 per square foot, for up to 300 square feet.",IRS Publication 334 — Tax Guide for Small Business,tax,41-42,medium
"According to IRS Publication 334, if a taxpayer's gross nonfarm income is $10,860 or less, what are their net earnings for self-employment tax purposes?",Two-thirds of their gross nonfarm income.,IRS Publication 334 — Tax Guide for Small Business,tax,46,easy
"According to IRS Publication 334, what are the net earnings for self-employment tax purposes if a taxpayer's gross nonfarm income is more than $10,860?","$7,840",IRS Publication 334 — Tax Guide for Small Business,tax,46,easy
"Per IRS Publication 526, can a volunteer deduct the value of their own time or services donated to a qualified organization?",No — you can't deduct the value of your time or services.,IRS Publication 526 — Charitable Contributions,tax,7,easy
"According to IRS Publication 526, what standard mileage rate can a volunteer deduct per mile for driving related to volunteer work, if they don't want to calculate actual car expenses?",14 cents per mile.,IRS Publication 526 — Charitable Contributions,tax,7,easy
"Per IRS Publication 526, under what condition can a taxpayer deduct a donation of clothing or a household item that is not in good used condition or better?","Only if they deduct more than $500 for the item and include a qualified appraisal prepared by a qualified appraiser along with a completed Form 8283, Section B.",IRS Publication 526 — Charitable Contributions,tax,11,medium
How does IRS Publication 503 determine the custodial parent for child and dependent care purposes when a child spends an equal number of nights with each parent?,The custodial parent is the parent with the higher adjusted gross income.,IRS Publication 503 — Child and Dependent Care Expenses,tax,3-4,medium
"According to IRS Publication 503, are meals provided to a housekeeper in the taxpayer's home, because of the housekeeper's employment, counted as work-related expenses?","Yes, they count as work-related expenses.",IRS Publication 503 — Child and Dependent Care Expenses,tax,8,easy
"In the Form 2441 Part III worksheet example in IRS Publication 503, how much in qualified expenses did James Paris (a disabled qualifying person over age 12) incur and pay in 2025?","$18,500",IRS Publication 503 — Child and Dependent Care Expenses,tax,13,medium
"Per IRS Publication 514, can a bona fide resident of Puerto Rico for the entire tax year claim the U.S. foreign tax credit under the same general rules as U.S. citizens?",Yes.,IRS Publication 514 — Foreign Tax Credit for Individuals,tax,9,easy
"According to IRS Publication 517, within what time period must a claim for refund of overpaid self-employment (SE) tax generally be filed on Form 1040-X?","Within 3 years from the date the return was filed, or within 2 years from the date the tax was paid, whichever is later.",IRS Publication 517 — Social Security for Members of the Clergy,tax,6-7,medium
